,index,root,inflection,tag,rule,reg
3890,3890,pedicure,pedicuring,V;V.PTCP;PRS,-e+ing,Irregular
3893,3893,procreate,procreating,V;V.PTCP;PRS,-e+ing,Irregular
3901,3901,tas,tasing,V;V.PTCP;PRS,+ing,Regular
3909,3909,let,letting,V;V.PTCP;PRS,double spell,Irregular
3911,3911,doublecheck,doublechecking,V;V.PTCP;PRS,+ing,Regular
3912,3912,sough,soughing,V;V.PTCP;PRS,+ing,Regular
3914,3914,structuralize,structuralizing,V;V.PTCP;PRS,-e+ing,Irregular
3918,3918,benchslap,benchslapping,V;V.PTCP;PRS,double spell,Irregular
3924,3924,necromance,necromancing,V;V.PTCP;PRS,-e+ing,Irregular
3931,3931,ablaqueate,ablaqueating,V;V.PTCP;PRS,-e+ing,Irregular
3932,3932,firewall,firewalling,V;V.PTCP;PRS,+ing,Regular
3943,3943,radicate,radicating,V;V.PTCP;PRS,-e+ing,Irregular
3946,3946,reingest,reingesting,V;V.PTCP;PRS,+ing,Regular
3950,3950,tweeze,tweezing,V;V.PTCP;PRS,-e+ing,Irregular
3954,3954,frizzle,frizzling,V;V.PTCP;PRS,-e+ing,Irregular
3959,3959,decolourize,decolourizing,V;V.PTCP;PRS,-e+ing,Irregular
3971,3971,unmask,unmasking,V;V.PTCP;PRS,+ing,Regular
3973,3973,deep-throat,deep-throating,V;V.PTCP;PRS,+ing,Regular
3974,3974,recede,receding,V;V.PTCP;PRS,-e+ing,Irregular
3976,3976,sleeptalk,sleeptalking,V;V.PTCP;PRS,+ing,Regular
3980,3980,outweed,outweeding,V;V.PTCP;PRS,+ing,Regular
3981,3981,misgauge,misgauging,V;V.PTCP;PRS,-e+ing,Irregular
3987,3987,perjure,perjuring,V;V.PTCP;PRS,-e+ing,Irregular
3989,3989,repulse,repulsing,V;V.PTCP;PRS,-e+ing,Irregular
3994,3994,planarize,planarizing,V;V.PTCP;PRS,-e+ing,Irregular
3995,3995,italianate,italianating,V;V.PTCP;PRS,-e+ing,Irregular
4000,4000,rebias,rebiasing,V;V.PTCP;PRS,+ing,Regular
4008,4008,despond,desponding,V;V.PTCP;PRS,+ing,Regular
4013,4013,unitarianize,unitarianizing,V;V.PTCP;PRS,-e+ing,Irregular
4018,4018,rehab,rehabbing,V;V.PTCP;PRS,double spell,Irregular
4019,4019,bodyslam,bodyslamming,V;V.PTCP;PRS,double spell,Irregular
4030,4030,proselytise,proselytising,V;V.PTCP;PRS,-e+ing,Irregular
4031,4031,overtan,overtanning,V;V.PTCP;PRS,double spell,Irregular
4037,4037,conduce,conducing,V;V.PTCP;PRS,-e+ing,Irregular
4041,4041,upblow,upblowing,V;V.PTCP;PRS,+ing,Regular
4062,4062,camphorate,camphorating,V;V.PTCP;PRS,-e+ing,Irregular
4069,4069,creampie,creampieing,V;V.PTCP;PRS,+ing,Regular
4086,4086,tinct,tincting,V;V.PTCP;PRS,+ing,Regular
4089,4089,bowne,bowning,V;V.PTCP;PRS,-e+ing,Irregular
4090,4090,vajazzle,vajazzling,V;V.PTCP;PRS,-e+ing,Irregular
4100,4100,calcitrate,calcitrating,V;V.PTCP;PRS,-e+ing,Irregular
4108,4108,alphabetize,alphabetizing,V;V.PTCP;PRS,-e+ing,Irregular
4114,4114,thread,threading,V;V.PTCP;PRS,+ing,Regular
4115,4115,ooh,oohing,V;V.PTCP;PRS,+ing,Regular
4116,4116,resterilize,resterilizing,V;V.PTCP;PRS,-e+ing,Irregular
4119,4119,warish,warishing,V;V.PTCP;PRS,+ing,Regular
4120,4120,formalize,formalizing,V;V.PTCP;PRS,-e+ing,Irregular
4124,4124,whoost,whoosting,V;V.PTCP;PRS,+ing,Regular
4128,4128,incircle,incircling,V;V.PTCP;PRS,-e+ing,Irregular
4137,4137,retire,retiring,V;V.PTCP;PRS,-e+ing,Irregular
4144,4144,provine,provining,V;V.PTCP;PRS,-e+ing,Irregular
4153,4153,newname,newnaming,V;V.PTCP;PRS,-e+ing,Irregular
4154,4154,salary,salarying,V;V.PTCP;PRS,+ing,Regular
4155,4155,class,classing,V;V.PTCP;PRS,+ing,Regular
4156,4156,rememorize,rememorizing,V;V.PTCP;PRS,-e+ing,Irregular
4162,4162,reedify,reedifying,V;V.PTCP;PRS,+ing,Regular
4163,4163,poof,poofing,V;V.PTCP;PRS,+ing,Regular
4175,4175,disintermediate,disintermediating,V;V.PTCP;PRS,-e+ing,Irregular
4184,4184,enlengthen,enlengthening,V;V.PTCP;PRS,+ing,Regular
4187,4187,present,presenting,V;V.PTCP;PRS,+ing,Regular
4190,4190,unitize,unitizing,V;V.PTCP;PRS,-e+ing,Irregular
4195,4195,elicit,eliciting,V;V.PTCP;PRS,+ing,Regular
4198,4198,pinfold,pinfolding,V;V.PTCP;PRS,+ing,Regular
4201,4201,reclip,reclipping,V;V.PTCP;PRS,double spell,Irregular
4202,4202,peril,periling,V;V.PTCP;PRS,+ing,Regular
4217,4217,mard,marding,V;V.PTCP;PRS,+ing,Regular
4218,4218,overhend,overhending,V;V.PTCP;PRS,+ing,Regular
4222,4222,outdress,outdressing,V;V.PTCP;PRS,+ing,Regular
4225,4225,respuate,respuateing,V;V.PTCP;PRS,+ing,Regular
4226,4226,vivify,vivifying,V;V.PTCP;PRS,+ing,Regular
4229,4229,discommission,discommissioning,V;V.PTCP;PRS,+ing,Regular
4235,4235,rebrobate,rebrobating,V;V.PTCP;PRS,-e+ing,Irregular
4236,4236,upskirt,upskirting,V;V.PTCP;PRS,+ing,Regular
4237,4237,upbreak,upbreaking,V;V.PTCP;PRS,+ing,Regular
4246,4246,magnificate,magnificating,V;V.PTCP;PRS,-e+ing,Irregular
4249,4249,foin,foining,V;V.PTCP;PRS,+ing,Regular
4257,4257,forgive,forgiving,V;V.PTCP;PRS,-e+ing,Irregular
4258,4258,mancipate,mancipating,V;V.PTCP;PRS,-e+ing,Irregular
4262,4262,desulfurate,desulfurating,V;V.PTCP;PRS,-e+ing,Irregular
4269,4269,ventriloquize,ventriloquizing,V;V.PTCP;PRS,-e+ing,Irregular
4274,4274,undumpish,undumpishing,V;V.PTCP;PRS,+ing,Regular
4275,4275,fortravel,fortraveling,V;V.PTCP;PRS,+ing,Regular
4278,4278,undull,undulling,V;V.PTCP;PRS,+ing,Regular
4284,4284,centesimate,centesimating,V;V.PTCP;PRS,-e+ing,Irregular
4287,4287,precogitate,precogitating,V;V.PTCP;PRS,-e+ing,Irregular
4288,4288,backfill,backfilling,V;V.PTCP;PRS,+ing,Regular
4293,4293,discruciate,discruciating,V;V.PTCP;PRS,-e+ing,Irregular
4295,4295,crystalize,crystalizing,V;V.PTCP;PRS,-e+ing,Irregular
4296,4296,pultrude,pultruding,V;V.PTCP;PRS,-e+ing,Irregular
4299,4299,salafize,salafizing,V;V.PTCP;PRS,-e+ing,Irregular
4301,4301,spitchcock,spitchcocking,V;V.PTCP;PRS,+ing,Regular
4307,4307,gree,greeing,V;V.PTCP;PRS,+ing,Regular
4322,4322,outman,outmanning,V;V.PTCP;PRS,double spell,Irregular
4328,4328,claik,claiking,V;V.PTCP;PRS,+ing,Regular
4336,4336,cognise,cognising,V;V.PTCP;PRS,-e+ing,Irregular
4345,4345,disfellowship,disfellowshipping,V;V.PTCP;PRS,double spell,Irregular
4347,4347,underconform,underconforming,V;V.PTCP;PRS,+ing,Regular
4352,4352,comport,comporting,V;V.PTCP;PRS,+ing,Regular
4354,4354,adjectivize,adjectivizing,V;V.PTCP;PRS,-e+ing,Irregular
4363,4363,quop,quopping,V;V.PTCP;PRS,double spell,Irregular
4367,4367,subtilise,subtilising,V;V.PTCP;PRS,-e+ing,Irregular
4370,4370,repropagate,repropagating,V;V.PTCP;PRS,-e+ing,Irregular
4372,4372,forwear,forwearing,V;V.PTCP;PRS,+ing,Regular
4381,4381,answere,answering,V;V.PTCP;PRS,-e+ing,Irregular
4397,4397,outspeak,outspeaking,V;V.PTCP;PRS,+ing,Regular
4401,4401,overrelax,overrelaxing,V;V.PTCP;PRS,+ing,Regular
4405,4405,light,lighting,V;V.PTCP;PRS,+ing,Regular
4407,4407,underreckon,underreckoning,V;V.PTCP;PRS,+ing,Regular
4418,4418,bestialize,bestializing,V;V.PTCP;PRS,-e+ing,Irregular
4421,4421,overbrim,overbrimming,V;V.PTCP;PRS,double spell,Irregular
4425,4425,tithe,tithing,V;V.PTCP;PRS,-e+ing,Irregular
4426,4426,axe-murder,axe-murdering,V;V.PTCP;PRS,+ing,Regular
4436,4436,spleen,spleening,V;V.PTCP;PRS,+ing,Regular
4437,4437,unclothe,unclothing,V;V.PTCP;PRS,-e+ing,Irregular
4440,4440,intrigue,intriguing,V;V.PTCP;PRS,-e+ing,Irregular
4443,4443,crowbar,crowbarring,V;V.PTCP;PRS,double spell,Irregular
4448,4448,revenge,revenging,V;V.PTCP;PRS,-e+ing,Irregular
4451,4451,harass,harassing,V;V.PTCP;PRS,+ing,Regular
4456,4456,afform,afforming,V;V.PTCP;PRS,+ing,Regular
4471,4471,toswink,toswinking,V;V.PTCP;PRS,+ing,Regular
4473,4473,blister,blistering,V;V.PTCP;PRS,+ing,Regular
4477,4477,mad,madding,V;V.PTCP;PRS,double spell,Irregular
4486,4486,unturn,unturning,V;V.PTCP;PRS,+ing,Regular
4499,4499,uncoop,uncooping,V;V.PTCP;PRS,+ing,Regular
4509,4509,calendar,calendaring,V;V.PTCP;PRS,+ing,Regular
4513,4513,untank,untanking,V;V.PTCP;PRS,+ing,Regular
4518,4518,electioneer,electioneering,V;V.PTCP;PRS,+ing,Regular
4528,4528,nudge,nudging,V;V.PTCP;PRS,-e+ing,Irregular
4533,4533,mirror,mirroring,V;V.PTCP;PRS,+ing,Regular
4534,4534,spin,spinning,V;V.PTCP;PRS,double spell,Irregular
4539,4539,defunctionalize,defunctionalizing,V;V.PTCP;PRS,-e+ing,Irregular
4543,4543,meal,mealing,V;V.PTCP;PRS,+ing,Regular
4553,4553,artifactualize,artifactualizing,V;V.PTCP;PRS,-e+ing,Irregular
4565,4565,mercerise,mercerising,V;V.PTCP;PRS,-e+ing,Irregular
4566,4566,discredit,discrediting,V;V.PTCP;PRS,+ing,Regular
4571,4571,foreconceive,foreconceiving,V;V.PTCP;PRS,-e+ing,Irregular
4573,4573,bewhore,bewhoring,V;V.PTCP;PRS,-e+ing,Irregular
4579,4579,apologize,apologizing,V;V.PTCP;PRS,-e+ing,Irregular
4580,4580,necessitate,necessitating,V;V.PTCP;PRS,-e+ing,Irregular
4582,4582,destress,destressing,V;V.PTCP;PRS,+ing,Regular
4584,4584,spraddle,spraddling,V;V.PTCP;PRS,-e+ing,Irregular
4592,4592,crunk,crunking,V;V.PTCP;PRS,+ing,Regular
4600,4600,incarn,incarning,V;V.PTCP;PRS,+ing,Regular
4601,4601,leger,legering,V;V.PTCP;PRS,+ing,Regular
4608,4608,reyse,reysing,V;V.PTCP;PRS,-e+ing,Irregular
4613,4613,forage,foraging,V;V.PTCP;PRS,-e+ing,Irregular
4621,4621,maturate,maturating,V;V.PTCP;PRS,-e+ing,Irregular
4625,4625,chiv,chivving,V;V.PTCP;PRS,double spell,Irregular
4626,4626,demephitize,demephitizing,V;V.PTCP;PRS,-e+ing,Irregular
4628,4628,overexplain,overexplaining,V;V.PTCP;PRS,+ing,Regular
4637,4637,loathe,loathing,V;V.PTCP;PRS,-e+ing,Irregular
4644,4644,imparadise,imparadising,V;V.PTCP;PRS,-e+ing,Irregular
4649,4649,attediate,attediating,V;V.PTCP;PRS,-e+ing,Irregular
4659,4659,mumble,mumbling,V;V.PTCP;PRS,-e+ing,Irregular
4661,4661,reinstigate,reinstigating,V;V.PTCP;PRS,-e+ing,Irregular
4666,4666,scranch,scranching,V;V.PTCP;PRS,+ing,Regular
4667,4667,ram-raid,ram-raiding,V;V.PTCP;PRS,+ing,Regular
4670,4670,decreolize,decreolizing,V;V.PTCP;PRS,-e+ing,Irregular
4673,4673,bury,burying,V;V.PTCP;PRS,+ing,Regular
4675,4675,crackle,crackling,V;V.PTCP;PRS,-e+ing,Irregular
4676,4676,roister,roistering,V;V.PTCP;PRS,+ing,Regular
4683,4683,oversweeten,oversweetening,V;V.PTCP;PRS,+ing,Regular
4687,4687,cahoot,cahooting,V;V.PTCP;PRS,+ing,Regular
4711,4711,metal,metalling,V;V.PTCP;PRS,double spell,Irregular
4714,4714,typewrite,typewriting,V;V.PTCP;PRS,-e+ing,Irregular
4716,4716,scabbard,scabbarding,V;V.PTCP;PRS,+ing,Regular
4721,4721,warn,warning,V;V.PTCP;PRS,+ing,Regular
4722,4722,filtrate,filtrating,V;V.PTCP;PRS,-e+ing,Irregular
4724,4724,connote,connoting,V;V.PTCP;PRS,-e+ing,Irregular
4727,4727,disprison,disprisoning,V;V.PTCP;PRS,+ing,Regular
4732,4732,yoke,yoking,V;V.PTCP;PRS,-e+ing,Irregular
4736,4736,missed-call,missed-calling,V;V.PTCP;PRS,+ing,Regular
4738,4738,outrate,outrating,V;V.PTCP;PRS,-e+ing,Irregular
4743,4743,forscald,forscalding,V;V.PTCP;PRS,+ing,Regular
4753,4753,modelize,modelizing,V;V.PTCP;PRS,-e+ing,Irregular
4754,4754,correct,correcting,V;V.PTCP;PRS,+ing,Regular
4755,4755,autoregulate,autoregulating,V;V.PTCP;PRS,-e+ing,Irregular
4761,4761,mist,misting,V;V.PTCP;PRS,+ing,Regular
4762,4762,abrase,abrasing,V;V.PTCP;PRS,-e+ing,Irregular
4766,4766,misally,misallying,V;V.PTCP;PRS,+ing,Regular
4779,4779,sunnitize,sunnitizing,V;V.PTCP;PRS,-e+ing,Irregular
4783,4783,forlat,forlatting,V;V.PTCP;PRS,double spell,Irregular
4785,4785,allocate,allocating,V;V.PTCP;PRS,-e+ing,Irregular
4786,4786,enthronize,enthronizing,V;V.PTCP;PRS,-e+ing,Irregular
4789,4789,relove,reloving,V;V.PTCP;PRS,-e+ing,Irregular
4792,4792,defæcate,defæcating,V;V.PTCP;PRS,-e+ing,Irregular
4793,4793,abjoint,abjointing,V;V.PTCP;PRS,+ing,Regular
4797,4797,dive,diving,V;V.PTCP;PRS,-e+ing,Irregular
4802,4802,graunch,graunching,V;V.PTCP;PRS,+ing,Regular
4804,4804,trike,triking,V;V.PTCP;PRS,-e+ing,Irregular
4805,4805,flop,flopping,V;V.PTCP;PRS,double spell,Irregular
4806,4806,nomadize,nomadizing,V;V.PTCP;PRS,-e+ing,Irregular
4814,4814,somatize,somatizing,V;V.PTCP;PRS,-e+ing,Irregular
4819,4819,envy,envying,V;V.PTCP;PRS,+ing,Regular
4825,4825,defenestrate,defenestrating,V;V.PTCP;PRS,-e+ing,Irregular
4828,4828,dispence,dispencing,V;V.PTCP;PRS,-e+ing,Irregular
4830,4830,remord,remording,V;V.PTCP;PRS,+ing,Regular
4832,4832,outcut,outcutting,V;V.PTCP;PRS,double spell,Irregular
4836,4836,swop,swopping,V;V.PTCP;PRS,double spell,Irregular
4846,4846,dister,disterring,V;V.PTCP;PRS,double spell,Irregular
4847,4847,waken,wakening,V;V.PTCP;PRS,+ing,Regular
4870,4870,tug,tugging,V;V.PTCP;PRS,double spell,Irregular
4878,4878,untwine,untwining,V;V.PTCP;PRS,-e+ing,Irregular
4885,4885,peract,peracting,V;V.PTCP;PRS,+ing,Regular
4887,4887,contradistinguish,contradistinguishing,V;V.PTCP;PRS,+ing,Regular
4889,4889,affy,affying,V;V.PTCP;PRS,+ing,Regular
4904,4904,decommodify,decommodifying,V;V.PTCP;PRS,+ing,Regular
4905,4905,militate,militating,V;V.PTCP;PRS,-e+ing,Irregular
4916,4916,platinize,platinizing,V;V.PTCP;PRS,-e+ing,Irregular
4919,4919,altre,altring,V;V.PTCP;PRS,-e+ing,Irregular
4921,4921,duplex,duplexing,V;V.PTCP;PRS,+ing,Regular
4929,4929,corporealise,corporealising,V;V.PTCP;PRS,-e+ing,Irregular
4931,4931,formylate,formylating,V;V.PTCP;PRS,-e+ing,Irregular
4934,4934,obolize,obolizing,V;V.PTCP;PRS,-e+ing,Irregular
4944,4944,vintage,vintaging,V;V.PTCP;PRS,-e+ing,Irregular
4946,4946,reprovision,reprovisioning,V;V.PTCP;PRS,+ing,Regular
4948,4948,skinch,skinching,V;V.PTCP;PRS,+ing,Regular
4955,4955,ally,allying,V;V.PTCP;PRS,+ing,Regular
4959,4959,fanaticize,fanaticizing,V;V.PTCP;PRS,-e+ing,Irregular
4960,4960,encroach,encroaching,V;V.PTCP;PRS,+ing,Regular
4961,4961,depatriate,depatriating,V;V.PTCP;PRS,-e+ing,Irregular
4962,4962,repute,reputing,V;V.PTCP;PRS,-e+ing,Irregular
4966,4966,list,listing,V;V.PTCP;PRS,+ing,Regular
4971,4971,forthcast,forthcasting,V;V.PTCP;PRS,+ing,Regular
4973,4973,pique,piquing,V;V.PTCP;PRS,-e+ing,Irregular
4990,4990,reprivatize,reprivatizing,V;V.PTCP;PRS,-e+ing,Irregular
4995,4995,self-abuse,self-abusing,V;V.PTCP;PRS,-e+ing,Irregular
5000,5000,reaggravate,reaggravating,V;V.PTCP;PRS,-e+ing,Irregular
5002,5002,intercross,intercrossing,V;V.PTCP;PRS,+ing,Regular
5005,5005,concord,concording,V;V.PTCP;PRS,+ing,Regular
5007,5007,vart,varting,V;V.PTCP;PRS,+ing,Regular
5014,5014,javelin,javelining,V;V.PTCP;PRS,+ing,Regular
5015,5015,harmonize,harmonizing,V;V.PTCP;PRS,-e+ing,Irregular
5017,5017,lappet,lappeting,V;V.PTCP;PRS,+ing,Regular
5021,5021,buccaneer,buccaneering,V;V.PTCP;PRS,+ing,Regular
5029,5029,engarland,engarlanding,V;V.PTCP;PRS,+ing,Regular
5037,5037,counterplot,counterplotting,V;V.PTCP;PRS,double spell,Irregular
5039,5039,unretire,unretiring,V;V.PTCP;PRS,-e+ing,Irregular
5040,5040,outhandle,outhandling,V;V.PTCP;PRS,-e+ing,Irregular
5043,5043,cum,cumming,V;V.PTCP;PRS,double spell,Irregular
5046,5046,socket,socketing,V;V.PTCP;PRS,+ing,Regular
5053,5053,benote,benoting,V;V.PTCP;PRS,-e+ing,Irregular
5059,5059,pass,passing,V;V.PTCP;PRS,+ing,Regular
5060,5060,scrooch,scrooching,V;V.PTCP;PRS,+ing,Regular
5064,5064,eschew,eschewing,V;V.PTCP;PRS,+ing,Regular
5065,5065,denerdify,denerdifying,V;V.PTCP;PRS,+ing,Regular
5068,5068,shapen,shapening,V;V.PTCP;PRS,+ing,Regular
5071,5071,underget,undergetting,V;V.PTCP;PRS,double spell,Irregular
5072,5072,disappoynt,disappoynting,V;V.PTCP;PRS,+ing,Regular
5081,5081,abscess,abscessing,V;V.PTCP;PRS,+ing,Regular
5087,5087,trapeze,trapezing,V;V.PTCP;PRS,-e+ing,Irregular
5088,5088,odorise,odorising,V;V.PTCP;PRS,-e+ing,Irregular
5092,5092,re-educate,re-educating,V;V.PTCP;PRS,-e+ing,Irregular
5093,5093,frustrate,frustrating,V;V.PTCP;PRS,-e+ing,Irregular
5097,5097,interline,interlining,V;V.PTCP;PRS,-e+ing,Irregular
5104,5104,shield,shielding,V;V.PTCP;PRS,+ing,Regular
5119,5119,unhide,unhiding,V;V.PTCP;PRS,-e+ing,Irregular
5135,5135,surprize,surprizing,V;V.PTCP;PRS,-e+ing,Irregular
5141,5141,displode,disploding,V;V.PTCP;PRS,-e+ing,Irregular
5142,5142,craunch,craunching,V;V.PTCP;PRS,+ing,Regular
5151,5151,flower,flowering,V;V.PTCP;PRS,+ing,Regular
5153,5153,acquire,acquiring,V;V.PTCP;PRS,-e+ing,Irregular
5155,5155,railroad,railroading,V;V.PTCP;PRS,+ing,Regular
5164,5164,plounce,plouncing,V;V.PTCP;PRS,-e+ing,Irregular
5171,5171,attend,attending,V;V.PTCP;PRS,+ing,Regular
5172,5172,hamstring,hamstringing,V;V.PTCP;PRS,+ing,Regular
5177,5177,thwock,thwocking,V;V.PTCP;PRS,+ing,Regular
5182,5182,narrate,narrating,V;V.PTCP;PRS,-e+ing,Irregular
5183,5183,unfriend,unfriending,V;V.PTCP;PRS,+ing,Regular
5189,5189,forsee,forseeing,V;V.PTCP;PRS,+ing,Regular
5190,5190,patronage,patronaging,V;V.PTCP;PRS,-e+ing,Irregular
5191,5191,crossmatch,crossmatching,V;V.PTCP;PRS,+ing,Regular
5199,5199,subsume,subsuming,V;V.PTCP;PRS,-e+ing,Irregular
5203,5203,sleep,sleeping,V;V.PTCP;PRS,+ing,Regular
5214,5214,convoy,convoying,V;V.PTCP;PRS,+ing,Regular
5216,5216,enstraighten,enstraightening,V;V.PTCP;PRS,+ing,Regular
5223,5223,unrug,unrugging,V;V.PTCP;PRS,double spell,Irregular
5225,5225,preposition,prepositioning,V;V.PTCP;PRS,+ing,Regular
5227,5227,capitate,capitating,V;V.PTCP;PRS,-e+ing,Irregular
5232,5232,coproduce,coproducing,V;V.PTCP;PRS,-e+ing,Irregular
5239,5239,uncage,uncaging,V;V.PTCP;PRS,-e+ing,Irregular
5241,5241,mendicate,mendicating,V;V.PTCP;PRS,-e+ing,Irregular
5248,5248,engrapple,engrappling,V;V.PTCP;PRS,-e+ing,Irregular
5264,5264,sepulcher,sepulchering,V;V.PTCP;PRS,+ing,Regular
5270,5270,differentiate,differentiating,V;V.PTCP;PRS,-e+ing,Irregular
5287,5287,videoconference,videoconferencing,V;V.PTCP;PRS,-e+ing,Irregular
5292,5292,counsel,counselling,V;V.PTCP;PRS,double spell,Irregular
5298,5298,malloc,mallocing,V;V.PTCP;PRS,+ing,Regular
5321,5321,wrong,wronging,V;V.PTCP;PRS,+ing,Regular
5325,5325,coax,coaxing,V;V.PTCP;PRS,+ing,Regular
5329,5329,guilt,guilting,V;V.PTCP;PRS,+ing,Regular
5330,5330,disleave,disleaving,V;V.PTCP;PRS,-e+ing,Irregular
5333,5333,famish,famishing,V;V.PTCP;PRS,+ing,Regular
5343,5343,reteach,reteaching,V;V.PTCP;PRS,+ing,Regular
5352,5352,criticize,criticizing,V;V.PTCP;PRS,-e+ing,Irregular
5357,5357,dealkylate,dealkylating,V;V.PTCP;PRS,-e+ing,Irregular
5366,5366,crosscheck,crosschecking,V;V.PTCP;PRS,+ing,Regular
5369,5369,overdress,overdressing,V;V.PTCP;PRS,+ing,Regular
5370,5370,surfle,surfling,V;V.PTCP;PRS,-e+ing,Irregular
5372,5372,outmanœuvre,outmanœuvring,V;V.PTCP;PRS,-e+ing,Irregular
5379,5379,fistbump,fistbumping,V;V.PTCP;PRS,+ing,Regular
5380,5380,parable,parabling,V;V.PTCP;PRS,-e+ing,Irregular
5386,5386,pompador,pompadoring,V;V.PTCP;PRS,+ing,Regular
5388,5388,messenger,messengering,V;V.PTCP;PRS,+ing,Regular
5397,5397,sympathize,sympathizing,V;V.PTCP;PRS,-e+ing,Irregular
5402,5402,whet,whetting,V;V.PTCP;PRS,double spell,Irregular
5404,5404,pickeer,pickeering,V;V.PTCP;PRS,+ing,Regular
5406,5406,remate,remating,V;V.PTCP;PRS,-e+ing,Irregular
5407,5407,slouch,slouching,V;V.PTCP;PRS,+ing,Regular
5410,5410,platinate,platinating,V;V.PTCP;PRS,-e+ing,Irregular
5411,5411,replumb,replumbing,V;V.PTCP;PRS,+ing,Regular
5412,5412,placeshift,placeshifting,V;V.PTCP;PRS,+ing,Regular
5420,5420,humblebrag,humblebragging,V;V.PTCP;PRS,double spell,Irregular
5421,5421,dim,dimming,V;V.PTCP;PRS,double spell,Irregular
5428,5428,bespeckle,bespeckling,V;V.PTCP;PRS,-e+ing,Irregular
5433,5433,afford,affording,V;V.PTCP;PRS,+ing,Regular
5446,5446,beshite,beshiting,V;V.PTCP;PRS,-e+ing,Irregular
5452,5452,sluggardize,sluggardizing,V;V.PTCP;PRS,-e+ing,Irregular
5462,5462,reincite,reinciting,V;V.PTCP;PRS,-e+ing,Irregular
5471,5471,fist-fuck,fist-fucking,V;V.PTCP;PRS,+ing,Regular
5473,5473,short-list,short-listing,V;V.PTCP;PRS,+ing,Regular
5476,5476,derange,deranging,V;V.PTCP;PRS,-e+ing,Irregular
5480,5480,impolder,impoldering,V;V.PTCP;PRS,+ing,Regular
5483,5483,pech,peching,V;V.PTCP;PRS,+ing,Regular
5487,5487,downzone,downzoning,V;V.PTCP;PRS,-e+ing,Irregular
5491,5491,excarnificate,excarnificating,V;V.PTCP;PRS,-e+ing,Irregular
5492,5492,hawm,hawming,V;V.PTCP;PRS,+ing,Regular
5495,5495,rag,ragging,V;V.PTCP;PRS,double spell,Irregular
5499,5499,horsecollar,horsecollaring,V;V.PTCP;PRS,+ing,Regular
5501,5501,exoticize,exoticizing,V;V.PTCP;PRS,-e+ing,Irregular
5503,5503,transform,transforming,V;V.PTCP;PRS,+ing,Regular
5514,5514,raspberry,raspberrying,V;V.PTCP;PRS,+ing,Regular
5525,5525,minuet,minueting,V;V.PTCP;PRS,+ing,Regular
5528,5528,pur,purring,V;V.PTCP;PRS,double spell,Irregular
5542,5542,tempre,tempring,V;V.PTCP;PRS,-e+ing,Irregular
5543,5543,beward,bewarding,V;V.PTCP;PRS,+ing,Regular
5553,5553,smelt,smelting,V;V.PTCP;PRS,+ing,Regular
5561,5561,clutter,cluttering,V;V.PTCP;PRS,+ing,Regular
5562,5562,sclerotise,sclerotising,V;V.PTCP;PRS,-e+ing,Irregular
5565,5565,gryde,gryding,V;V.PTCP;PRS,-e+ing,Irregular
5567,5567,scaffold,scaffolding,V;V.PTCP;PRS,+ing,Regular
5572,5572,dilacerate,dilacerating,V;V.PTCP;PRS,-e+ing,Irregular
5578,5578,rendition,renditioning,V;V.PTCP;PRS,+ing,Regular
5585,5585,fid,fiding,V;V.PTCP;PRS,+ing,Regular
5596,5596,feast,feasting,V;V.PTCP;PRS,+ing,Regular
5598,5598,umlaut,umlauting,V;V.PTCP;PRS,+ing,Regular
5601,5601,memorize,memorizing,V;V.PTCP;PRS,-e+ing,Irregular
5603,5603,spawl,spawling,V;V.PTCP;PRS,+ing,Regular
5607,5607,t-bone,t-boning,V;V.PTCP;PRS,-e+ing,Irregular
5612,5612,unwriggle,unwriggling,V;V.PTCP;PRS,-e+ing,Irregular
5615,5615,allergise,allergising,V;V.PTCP;PRS,-e+ing,Irregular
5619,5619,forcut,forcutting,V;V.PTCP;PRS,double spell,Irregular
5624,5624,slingshoot,slingshooting,V;V.PTCP;PRS,+ing,Regular
5625,5625,thole,tholing,V;V.PTCP;PRS,-e+ing,Irregular
5627,5627,preschool,preschooling,V;V.PTCP;PRS,+ing,Regular
5636,5636,mormonize,mormonizing,V;V.PTCP;PRS,-e+ing,Irregular
5639,5639,scarf,scarfing,V;V.PTCP;PRS,+ing,Regular
5642,5642,adpress,adpressing,V;V.PTCP;PRS,+ing,Regular
5643,5643,rejolt,rejolting,V;V.PTCP;PRS,+ing,Regular
5648,5648,garble,garbling,V;V.PTCP;PRS,-e+ing,Irregular
5651,5651,hedgehop,hedgehopping,V;V.PTCP;PRS,double spell,Irregular
5665,5665,rine,rining,V;V.PTCP;PRS,-e+ing,Irregular
5666,5666,mutiny,mutinying,V;V.PTCP;PRS,+ing,Regular
5668,5668,de-muslimise,de-muslimising,V;V.PTCP;PRS,-e+ing,Irregular
5670,5670,equiparate,equiparating,V;V.PTCP;PRS,-e+ing,Irregular
5671,5671,allegorize,allegorizing,V;V.PTCP;PRS,-e+ing,Irregular
5692,5692,euthanatise,euthanatising,V;V.PTCP;PRS,-e+ing,Irregular
5697,5697,taste,tasting,V;V.PTCP;PRS,-e+ing,Irregular
5705,5705,puppy,puppying,V;V.PTCP;PRS,+ing,Regular
5710,5710,enform,enforming,V;V.PTCP;PRS,+ing,Regular
5728,5728,outsing,outsinging,V;V.PTCP;PRS,+ing,Regular
